id;pc_1;pc_2;pc_3;pc_4;pc_5;pc_6;pc_7;pc_8
evernote:///view/2147483647/s94/08ef5a4c-0f93-40f7-8292-3475ae2cfc47/08ef5a4c-0f93-40f7-8292-3475ae2cfc47/;0.834851599769859;-0.021141380096930645;0.04121738048279161;0.012311098604402639;0.2816436472105769;-0.15646459462803097;0.15150106130168414;-0.1649279966183672
evernote:///view/2147483647/s94/92185793-1c39-48cb-9893-a2fb0d5eab68/92185793-1c39-48cb-9893-a2fb0d5eab68/;0.834851599769859;-0.021141380096930645;0.04121738048279161;0.012311098604402639;0.2816436472105769;-0.15646459462803097;0.15150106130168414;-0.1649279966183672
evernote:///view/2147483647/s94/dc73d868-516c-486c-b4fc-98ab5142be3e/dc73d868-516c-486c-b4fc-98ab5142be3e/;0.2851837384601472;-0.18067415308672652;0.06935468028682261;0.06623658314791149;-0.20370493865171696;-0.20814492085038772;0.0858164028695376;0.06029506329465438
evernote:///view/2147483647/s94/47ee58d1-d833-41ea-a23c-3363426ae221/47ee58d1-d833-41ea-a23c-3363426ae221/;0.2851837384601472;-0.18067415308672652;0.06935468028682261;0.06623658314791149;-0.20370493865171696;-0.20814492085038772;0.0858164028695376;0.06029506329465438
evernote:///view/2147483647/s94/f17725d6-a267-4d72-a441-19512c646f0c/f17725d6-a267-4d72-a441-19512c646f0c/;-0.7512597316492415;-0.6077605756771803;0.17464098966578764;0.3974373743222205;-0.312091998834765;0.1881606899573543;0.14894046338212574;-0.43449217868726225
evernote:///view/2147483647/s94/4998309f-f0d7-45fd-995b-0c896fee9b59/4998309f-f0d7-45fd-995b-0c896fee9b59/;-0.8566988967589227;0.2758959873059744;0.37600199546934904;-0.05134346666974137;0.022421455465011494;0.032759858155316776;0.2276077463522358;0.03744012993669798
evernote:///view/2147483647/s94/33f4b6b6-85f6-4e4d-9a87-1b565bc8190b/33f4b6b6-85f6-4e4d-9a87-1b565bc8190b/;-0.03663871715732252;-0.5720638993505932;0.23918667892002277;-0.18588386315812705;-0.1185878497331121;0.21765013554895854;0.0039977796706371985;-0.042374466777980464
evernote:///view/2147483647/s94/43a09698-ae4a-466b-b5aa-b98efdde73fa/43a09698-ae4a-466b-b5aa-b98efdde73fa/;-1.0884784686121742;-0.7434965830019197;-0.6180960205536523;-0.2300902413672341;0.17523562748384106;-0.12395324066417115;0.015045755086653914;0.22387782467910766
evernote:///view/2147483647/s94/3fe8813e-8ac1-4a9c-ba41-255f00ec989e/3fe8813e-8ac1-4a9c-ba41-255f00ec989e/;0.7332810208031347;-0.25574729493761206;0.0895592914295027;-0.2594238038789368;0.5439461598003614;0.17465028468847477;0.10625930368631228;0.22160756327349623
evernote:///view/2147483647/s94/3c6436bb-4956-4bd2-b1b5-22b0f75a0674/3c6436bb-4956-4bd2-b1b5-22b0f75a0674/;-0.9244456919034525;0.6664149098216208;0.23283777165075942;0.5300393055170065;-0.03765291641340118;0.009567995137435212;-0.5917994279452989;-0.10760560679574958
evernote:///view/2147483647/s94/9fe3d7a7-a322-4c61-90f0-2c3e963fef6f/9fe3d7a7-a322-4c61-90f0-2c3e963fef6f/;0.5426527953736247;-0.017211910309409585;-0.31828258442713747;0.0017309846813776779;-0.19311146156139491;-0.057866245446294234;0.26241985830654396;-0.04608916199705247
evernote:///view/2147483647/s94/9ac6a6c3-094b-4f1f-8af9-10601a5e1452/9ac6a6c3-094b-4f1f-8af9-10601a5e1452/;0.31297734776022373;-0.20073444200187665;0.11618601919219658;0.03384251405938965;-0.18825198953798736;-0.11859041467768285;-0.1593169213949926;0.07693251602777253
